Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
12/29/1978,193.4,124.7,#N/A,100.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/31/1979,304.7,185.1,"67,944.1",143.1,358.7,507.3,"2,481.9",#N/A,#N/A,"1,030.0","191,282.0","1,163.9","6,201.4",#N/A,#N/A,"148,048.8",#N/A,257.0,274.3
12/31/1980,614.5,378.2,"138,760.1",263.8,717.9,"1,027.5","4,831.7",#N/A,#N/A,"2,044.6","383,817.7","2,278.4","12,496.0",#N/A,#N/A,"366,823.5",#N/A,478.3,538.7
12/31/1981,459.3,360.9,"100,895.8",227.0,550.1,901.0,"3,966.6",#N/A,#N/A,"1,554.1","288,926.5","1,691.0","9,908.7",#N/A,#N/A,"315,191.8",#N/A,400.4,399.1
12/31/1982,375.3,345.6,"93,780.8",215.5,462.4,765.1,"3,553.6",#N/A,#N/A,"1,287.5","247,508.7","1,378.7","8,590.0",#N/A,#N/A,"276,229.0",#N/A,408.5,371.5
12/30/1983,423.7,439.9,"100,676.3",279.2,521.8,889.0,"4,270.4",#N/A,0.1,"1,465.7","383,187.6","1,557.5","9,709.8",#N/A,#N/A,"331,230.3",#N/A,471.3,469.7
12/31/1984,360.8,425.9,"85,515.0",269.8,466.4,844.6,"4,067.6",#N/A,0.1,"1,272.3","369,744.3","1,324.7","8,459.0",#N/A,#N/A,"292,467.7",#N/A,527.2,409.9
12/31/1985,317.3,394.1,"75,698.6",246.3,432.3,779.1,"3,887.4",926.6,0.2,"1,149.8","351,424.4","1,162.2","8,490.6",#N/A,#N/A,"274,967.1",#N/A,703.4,452.9
12/31/1986,367.9,351.3,"61,804.0",251.1,511.4,658.7,"4,625.1","1,272.4",0.2,"1,366.0","478,895.9","1,351.9","9,567.8",#N/A,#N/A,"324,124.1",#N/A,839.7,551.9
12/31/1987,446.2,366.1,"64,463.3",272.5,592.3,665.4,"5,761.9","1,659.6",0.4,"1,676.1","734,972.0","1,641.5","11,390.6",#N/A,#N/A,"366,474.5",#N/A,909.4,636.6
12/30/1988,436.9,352.1,"55,987.0",245.6,537.8,638.5,"6,039.4","1,626.1",0.6,"1,637.9","737,863.6","1,604.0","11,000.8",#N/A,980.0,"320,007.6",#N/A,991.5,559.8
12/29/1989,380.8,325.5,"52,540.6",232.7,451.2,622.9,"6,148.7","1,434.3",0.8,"1,429.7","676,626.3","1,399.8","9,749.4","1,833,959.9",957.5,"256,079.8",#N/A,998.2,481.5
12/31/1990,383.6,282.9,"55,447.5",216.0,447.6,533.0,"6,697.6","1,827.1",1.0,"1,437.7","706,760.5","1,407.8","9,777.8","1,889,082.6","1,035.8","271,075.8",#N/A,991.1,491.2
