Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
1979-12-31,304.7,185.1,67944.1,143.1,358.7,507.3,2481.9,,,1030.0,191282.0,1163.9,6201.4,,,148048.8,,257.0,274.3
1980-12-31,614.5,378.2,138760.1,263.8,717.9,1027.5,4831.7,,,2044.6,383817.7,2278.4,12496.0,,,366823.5,,478.3,538.7
1981-12-31,459.3,360.9,100895.8,227.0,550.1,901.0,3966.6,,,1554.1,288926.5,1691.0,9908.7,,,315191.8,,400.4,399.1
1982-12-31,375.3,345.6,93780.8,215.5,462.4,765.1,3553.6,,,1287.5,247508.7,1378.7,8590.0,,,276229.0,,408.5,371.5
1983-12-30,423.7,439.9,100676.3,279.2,521.8,889.0,4270.4,,0.1,1465.7,383187.6,1557.5,9709.8,,,331230.3,,471.3,469.7
1984-12-31,360.8,425.9,85515.0,269.8,466.4,844.6,4067.6,,0.1,1272.3,369744.3,1324.7,8459.0,,,292467.7,,527.2,409.9
1985-12-31,317.3,394.1,75698.6,246.3,432.3,779.1,3887.4,926.6,0.2,1149.8,351424.4,1162.2,8490.6,,,274967.1,,703.4,452.9
1986-12-31,367.9,351.3,61804.0,251.1,511.4,658.7,4625.1,1272.4,0.2,1366.0,478895.9,1351.9,9567.8,,,324124.1,,839.7,551.9
1987-12-31,446.2,366.1,64463.3,272.5,592.3,665.4,5761.9,1659.6,0.4,1676.1,734972.0,1641.5,11390.6,,,366474.5,,909.4,636.6
1988-12-30,436.9,352.1,55987.0,245.6,537.8,638.5,6039.4,1626.1,0.6,1637.9,737863.6,1604.0,11000.8,,980.0,320007.6,,991.5,559.8
1989-12-29,380.8,325.5,52540.6,232.7,451.2,622.9,6148.7,1434.3,0.8,1429.7,676626.3,1399.8,9749.4,1833959.9,957.5,256079.8,,998.2,481.5
1990-12-31,383.6,282.9,55447.5,216.0,447.6,533.0,6697.6,1827.1,1.0,1437.7,706760.5,1407.8,9777.8,1889082.6,1035.8,271075.8,,991.1,491.2
1991-12-31,362.3,278.4,48704.3,205.5,415.0,519.3,8225.7,1927.4,1.5,1357.7,707857.5,1329.6,9223.2,3244975.2,1174.5,265570.6,,999.9,465.1
1992-12-31,344.0,253.4,43536.0,195.5,415.5,482.8,9636.9,1902.4,2.4,1289.5,700192.6,1262.9,8726.7,3846973.3,1144.5,268572.3,,979.9,468.4
1993-12-31,359.8,301.3,39882.7,239.7,464.8,532.2,11203.6,2077.2,4.0,1350.2,753918.9,1322.0,9111.6,3827300.5,1204.6,289122.6,338.7,1179.1,530.5
1994-12-30,384.2,319.4,39235.3,250.8,524.5,524.6,12051.8,3306.3,11.6,1440.7,829686.7,1396.4,9660.4,4202318.3,1292.2,308748.9,832.7,1364.4,525.3
1995-12-29,384.1,291.9,36091.9,243.3,527.2,453.8,12439.3,3206.9,17.6,1440.4,861887.9,1410.6,9569.5,4265278.5,1307.6,296095.7,1752.0,1393.0,518.5
1996-12-31,387.9,300.9,42146.4,248.9,528.9,478.6,13721.4,3224.9,31.6,1454.7,902516.7,1424.6,9830.7,4276945.5,1318.8,311834.2,2006.0,1663.0,496.0
1997-12-31,331.3,292.5,40007.8,202.4,458.2,480.5,12006.1,2746.4,50.1,1242.5,938624.4,1216.7,10226.5,3872283.0,1125.2,310943.9,1914.9,1523.8,445.0
1998-12-31,294.1,264.3,38498.9,177.5,436.1,426.3,12132.6,2434.7,77.0,1103.1,3029918.9,1080.2,12148.0,4052365.1,1003.5,412221.9,2945.3,1626.9,467.8
1999-12-31,278.6,261.4,31645.3,172.1,414.0,418.4,11996.3,2306.1,117.3,1044.8,2189677.8,1023.1,10549.6,3881737.2,952.0,331190.0,6925.5,1703.0,431.8
2000-12-29,279.1,302.8,30075.3,184.4,414.4,471.5,12534.4,2310.5,174.1,1046.8,2338605.9,1025.1,11204.2,3952055.7,985.8,315170.0,7860.2,1933.3,481.0
2001-12-31,271.0,302.8,32901.9,188.2,419.7,457.2,12789.0,2243.4,335.6,1016.5,2777359.0,995.5,12061.0,4012616.2,1097.6,349421.3,7914.0,2328.8,524.3
2002-12-31,309.7,328.0,38723.0,206.1,486.1,481.1,15048.4,2563.2,470.3,1161.4,2880768.4,1137.5,13310.8,4728429.6,1433.3,386274.1,9722.7,3247.9,569.6
2003-12-31,363.3,321.2,42046.8,222.2,508.0,488.4,16905.9,3007.2,545.2,1362.5,3112533.8,1334.5,15064.4,5635365.5,2135.6,432483.5,11140.2,2736.5,558.3
2004-12-31,409.2,329.1,44236.4,223.3,531.5,508.0,18540.9,3386.6,584.8,1534.5,3656378.8,1502.9,16476.0,6440400.4,2538.6,468426.5,11785.9,2633.8,556.0
2005-12-30,444.5,358.3,49065.3,244.8,537.8,554.8,19615.4,3639.5,598.7,1666.9,4321718.8,1632.5,17911.7,7047858.3,2573.5,455485.7,12582.9,2833.1,583.4
2006-12-29,603.8,480.5,70168.7,327.6,684.2,755.7,27373.7,4813.3,870.0,2264.5,5530818.2,2217.6,22873.3,9655884.7,3466.8,576117.4,16393.9,4096.0,801.3
2007-12-31,695.4,506.8,81747.1,347.0,743.7,832.8,28688.1,5284.8,904.7,2605.5,6356836.2,2553.6,23975.5,11184780.3,3921.9,645806.3,17751.8,4893.9,828.5
2008-12-31,872.0,593.2,90414.5,471.8,924.9,941.5,37761.8,6064.4,1130.2,3270.9,8392878.9,3202.6,29022.9,14325519.3,4739.9,950942.0,21581.7,7147.9,1033.1
2009-12-31,972.4,696.9,90786.1,621.1,1105.0,1052.0,47005.7,6642.6,1508.7,3646.7,10058660.3,3571.4,33319.1,17320381.3,5394.8,1236790.5,30787.4,8131.3,1235.0
2010-12-31,1224.5,925.1,107090.1,792.3,1261.0,1273.9,55974.0,8283.0,1843.2,4592.2,11115159.1,4497.6,38729.7,23459864.3,6910.8,1416472.2,37236.0,8945.6,1331.7
