Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
1979-12-31,512.0,299.1,125630.3,230.6,611.8,835.6,4189.6,,,1749.0,324101.3,2055.9,10645.2,,,253615.9,,434.1,474.3
1980-12-31,589.8,392.4,119823.1,246.7,703.7,1047.8,4620.3,,,1960.1,367506.8,2149.9,12026.7,,,389010.8,,439.1,499.4
1981-12-31,397.5,327.5,87899.5,208.2,475.3,719.8,3625.1,,,1372.5,249492.1,1456.3,9089.6,,,280200.1,,383.1,355.0
1982-12-31,456.9,429.9,105366.4,282.5,551.2,899.8,4320.0,,0.1,1543.1,310012.9,1642.3,10240.0,,,335836.8,,482.6,456.8
1983-12-30,382.4,432.0,88442.8,263.5,474.5,831.9,3995.0,,0.1,1334.4,380175.3,1368.8,8699.7,,,303482.9,,466.4,424.3
1984-12-31,308.3,402.5,77716.7,266.0,408.2,803.8,3825.9,,0.1,1106.4,331867.4,1134.4,8219.4,,,255666.7,,612.8,374.1
1985-12-31,326.8,347.5,65490.6,226.1,457.2,673.6,3920.6,1047.4,0.2,1193.6,366475.7,1196.7,8614.4,,,291095.5,,843.9,479.6
1986-12-31,388.8,337.8,61832.1,262.2,540.0,630.2,5061.0,1430.9,0.3,1465.8,632246.1,1434.4,9953.8,,,333768.3,,851.2,587.4
1987-12-31,484.1,351.8,58714.4,257.7,629.5,616.8,6116.9,1758.9,0.5,1820.3,776608.7,1781.5,11789.2,,,379396.7,,934.3,669.6
1988-12-30,410.3,332.7,51253.0,226.8,488.5,616.2,6123.1,1516.9,0.8,1537.1,704545.5,1505.6,10261.9,,966.3,277911.2,,976.1,479.8
1989-12-29,398.6,310.7,57287.2,247.2,461.6,614.9,6624.8,1873.5,0.9,1490.3,715762.5,1459.4,10036.1,1800931.7,1018.4,269064.4,,1015.7,504.6
1990-12-31,386.2,265.7,53028.2,200.1,453.8,498.4,6948.9,2039.2,1.1,1454.9,743695.8,1425.0,9633.2,2543477.4,1116.8,279605.7,,1000.3,506.5
1991-12-31,353.2,250.3,44151.4,188.8,408.5,478.8,9080.6,1900.6,1.8,1321.0,706524.6,1293.7,8922.8,4586186.2,1171.1,268147.8,,968.5,465.1
1992-12-31,332.9,266.7,41576.2,219.9,425.3,487.8,9639.3,1931.5,2.9,1249.8,685837.3,1224.0,8436.2,3611720.4,1108.5,262056.7,,1017.8,484.7
1993-12-31,391.8,348.2,43592.9,264.8,517.1,580.1,12252.6,2265.5,5.8,1465.0,824654.2,1432.0,9977.9,4226900.8,1316.7,315272.6,486.1,1327.2,575.5
1994-12-30,383.3,308.8,38236.9,245.0,537.6,501.6,12022.1,3237.0,14.8,1437.7,842383.5,1407.6,9621.5,4243700.5,1306.4,302192.6,1374.9,1358.4,494.1
1995-12-29,387.0,290.7,39921.0,249.3,527.8,445.3,13608.9,3218.8,23.6,1451.4,884875.5,1421.4,9748.5,4261810.8,1317.2,300215.3,1788.8,1410.8,520.2
1996-12-31,369.3,290.5,42858.8,215.8,506.1,495.8,13228.4,3064.2,40.3,1385.0,872353.1,1356.0,9467.6,4068831.3,1252.8,312200.9,2063.7,1727.2,464.9
1997-12-31,290.2,266.1,37733.3,176.4,415.3,423.3,11378.7,2402.7,60.1,1088.4,1594648.7,1065.8,13973.1,3567035.9,987.4,491888.9,1740.5,1412.3,445.4
1998-12-31,287.8,245.1,32463.8,173.0,442.1,395.3,12230.4,2382.7,90.8,1079.5,2288008.5,1057.1,10457.2,3998402.7,981.4,346079.3,6202.1,1693.1,469.2
1999-12-31,290.3,289.2,29756.4,179.8,421.6,464.2,12631.0,2403.1,157.4,1088.5,2046262.5,1066.1,10906.1,4071917.3,992.9,328795.2,7996.4,1786.3,444.2
2000-12-29,274.5,296.2,31463.0,184.2,413.2,450.5,12815.4,2271.9,183.9,1029.4,2611391.8,1008.1,11889.2,3983367.3,1067.6,343748.6,7728.5,2079.5,496.3
2001-12-31,276.5,312.9,36287.9,190.9,440.8,463.3,13345.3,2288.6,400.5,1037.0,2896337.5,1015.6,12219.9,4169896.5,1266.4,365809.5,8434.6,3308.3,540.6
2002-12-31,347.2,331.4,41132.8,216.4,547.8,481.8,16643.0,2873.9,570.7,1302.2,3107440.0,1275.3,15019.9,5347227.2,1604.1,414556.8,11049.6,3005.8,615.8
2003-12-31,416.3,332.0,44555.4,233.9,539.2,518.0,18953.9,3445.2,584.3,1561.1,3527718.8,1528.9,16508.5,6513896.3,2564.1,498355.3,12173.2,2751.3,556.0
2004-12-31,435.6,319.4,44888.6,226.2,524.2,493.5,19046.6,3605.2,586.1,1633.6,4061970.0,1600.0,17001.5,6875946.0,2651.7,453677.4,12096.6,2464.4,559.3
